x_m,y_m,time_mean_s,time_sd_s,time_ci_lower_s,time_ci_upper_s,time_prior_dominance,asymmetry_mean_ms,asymmetry_sd_ms,asymmetry_ci_lower_ms,asymmetry_ci_upper_ms,asymmetry_prior_dominance
-3.66,0,0.377808319,0.0400896871,0.299233976,0.456382662,0.136975094,10.2306899,37.4287524,-63.1283167,83.5896966,0.259512446
-3.61933333,0,0.375374958,0.0375367086,0.301804361,0.448945555,0.132846599,8.61599537,34.6069445,-59.2123695,76.4443603,0.249580666
-3.57866667,0,0.372983928,0.0356777383,0.303056846,0.44291101,0.130623789,7.07042322,32.1404935,-55.9237865,70.064633,0.240730697
-3.538,0,0.370635878,0.0344757199,0.303064708,0.438207047,0.130398812,5.59280663,30.0298934,-53.2647029,64.4503161,0.233204598
-3.49733333,0,0.368331454,0.0338643934,0.301958463,0.434704445,0.132131738,4.18197875,28.2709773,-51.2281185,59.592076,0.227218735
-3.45666667,0,0.366071304,0.0337540517,0.299914578,0.43222803,0.135653353,2.83677273,26.8530919,-49.7943202,55.4678656,0.222937664
-3.416,0,0.363856075,0.0340425475,0.297133908,0.430578242,0.140695422,1.55602171,25.757756,-48.9282524,52.0402958,0.220449266
-3.37533333,0,0.361686415,0.0346272669,0.29381822,0.429554611,0.146934668,0.338558846,24.9583187,-48.5788468,49.2559645,0.219747566
-3.33466667,0,0.359562972,0.0354143437,0.290152133,0.42897381,0.154034543,-0.816782722,24.4209156,-48.6808978,47.0473324,0.220728648
-3.294,0,0.357486391,0.0363236925,0.286293262,0.42867952,0.161675479,-1.91116985,24.1066112,-49.1592596,45.33692,0.223201444
-3.25333333,0,0.355457322,0.0372904175,0.282369447,0.428545197,0.169572114,-2.94576938,23.9742123,-49.9343621,44.0428234,0.226910404
-3.21266667,0,0.353476411,0.038263937,0.278480472,0.428472349,0.17748044,-3.92174817,23.9830813,-50.9277238,43.0842274,0.231563904
-3.172,0,0.351544305,0.0392060446,0.27470187,0.428386741,0.185198682,-4.84027308,24.095403,-52.0663952,42.385849,0.236861895
-3.13133333,0,0.349661653,0.0400887095,0.271089226,0.42823408,0.19256491,-5.70251095,24.2776503,-53.2858312,41.8808093,0.242518301
-3.09066667,0,0.347829101,0.0408920264,0.267682202,0.427976,0.19945324,-6.50962865,24.5012656,-54.5312268,41.5119695,0.248276314
-3.05,0,0.346047296,0.0416024741,0.264507946,0.427586647,0.20576963,-7.26279302,24.7427342,-55.7576609,41.2320749,0.253916886
-3.00933333,0,0.344316887,0.0422115091,0.26158385,0.427049925,0.211447719,-7.96317091,24.9832675,-56.9294755,41.0031336,0.259261755
-2.96866667,0,0.342638521,0.0427144588,0.25891972,0.426357322,0.216444923,-8.61192919,25.2082841,-58.0192582,40.7953998,0.264172667
-2.928,0,0.341012844,0.0431096623,0.256519459,0.42550623,0.220738832,-9.2102347,25.4068217,-59.0066902,40.5862208,0.268548238
-2.88733333,0,0.339440505,0.0433978082,0.254382364,0.424498646,0.224323948,-9.75925429,25.5709605,-59.877416,40.3589074,0.272319599
-2.84666667,0,0.33792215,0.0435814214,0.252504134,0.423340167,0.227208743,-10.2601548,25.6953002,-60.6220177,40.1017081,0.275445592
-2.806,0,0.336458428,0.0436644658,0.250877647,0.422039208,0.229413049,-10.7141032,25.7765044,-61.2351233,39.806917,0.27790802
-2.76533333,0,0.335049985,0.0436520313,0.249493576,0.420606394,0.230965759,-11.1222661,25.8129167,-61.7146531,39.4701209,0.279707246
-2.72466667,0,0.333697469,0.043550085,0.248340871,0.419054067,0.23190282,-11.4858106,25.8042399,-62.0611914,39.0895702,0.280858288
-2.684,0,0.332401527,0.0433652697,0.24740716,0.417395894,0.232265514,-11.8059034,25.7512706,-62.2774663,38.6656595,0.28138746
-2.64333333,0,0.331162807,0.0431047363,0.246679076,0.415646537,0.232098974,-12.0837114,25.6556801,-62.3679205,38.2004976,0.281329551
-2.60266667,0,0.329981955,0.0427760007,0.246142535,0.413821376,0.231450933,-12.3204015,25.5198318,-62.3383527,37.6975496,0.280725494
-2.562,0,0.32885962,0.0423868178,0.245782984,0.411936257,0.230370653,-12.5171405,25.3466278,-62.1956181,37.1613371,0.279620472
-2.52133333,0,0.327796449,0.0419450671,0.245585629,0.41000727,0.228908008,-12.6750953,25.1393792,-61.947373,36.5971825,0.278062374
-2.48066667,0,0.32679309,0.0414586449,0.245535639,0.40805054,0.227112693,-12.7954327,24.9016927,-61.6018534,36.0109881,0.276100546
-2.44,0,0.325850188,0.040935361,0.245618355,0.406082021,0.225033516,-12.8793195,24.6373714,-61.1676801,35.4090411,0.273784771
-2.39933333,0,0.324968393,0.0403828362,0.245819488,0.404117297,0.222717766,-12.9279227,24.3503254,-60.6536835,34.7978382,0.271164408
-2.35866667,0,0.324148351,0.0398084019,0.246125317,0.402171385,0.220210615,-12.942409,24.04449,-60.0687434,34.1839253,0.268287662
-2.318,0,0.323390709,0.0392189988,0.246522884,0.400258535,0.217554565,-12.9239454,23.7237497,-59.4216403,33.5737495,0.265200941
-2.27733333,0,0.322696116,0.038621078,0.247000194,0.398392038,0.214788912,-12.8736986,23.3918683,-58.720918,32.9735208,0.261948266
-2.23666667,0,0.322065218,0.0380205055,0.247546397,0.39658404,0.211949237,-12.7928356,23.0524236,-57.9747556,32.3890843,0.258570743
-2.196,0,0.321498663,0.0374224723,0.248151965,0.394845361,0.209066945,-12.6825232,22.7087476,-57.1908506,31.8258042,0.255106071
-2.15533333,0,0.320997099,0.0368314156,0.248808851,0.393185347,0.206168842,-12.5439282,22.3638743,-56.3763165,31.28846,0.251588113
-2.11466667,0,0.320561172,0.0362509541,0.249510607,0.391611736,0.203276809,-12.3782176,22.0204964,-55.5375974,30.7811623,0.248046529
-2.074,0,0.32019153,0.0356838441,0.25025248,0.390130579,0.200407569,-12.186558,21.6809323,-54.6804044,30.3072884,0.244506519
-2.03333333,0,0.31988882,0.0351319613,0.251031441,0.388746199,0.197572603,-11.9701165,21.3471086,-53.8096805,29.8694475,0.240988692
-1.99266667,0,0.31965369,0.0345963135,0.251846162,0.387461219,0.194778239,-11.7300598,21.0205589,-52.9295983,29.4694787,0.237509107
-1.952,0,0.319486787,0.0340770901,0.252696918,0.386276657,0.192025943,-11.4675548,20.7024435,-52.0435984,29.1084887,0.234079519
-1.91133333,0,0.319388759,0.033573753,0.253585413,0.385192106,0.189312848,-11.1837684,20.393592,-51.1544742,28.7869373,0.23070789
-1.87066667,0,0.319360253,0.0330851723,0.254514507,0.384205999,0.186632543,-10.8798674,20.0945739,-50.2645086,28.5047738,0.227399169
-1.83,0,0.319401916,0.0326098105,0.255487862,0.38331597,0.18397613,-10.5570187,19.8057978,-49.3756691,28.2616317,0.224156408
-1.78933333,0,0.319513216,0.0321463031,0.25650762,0.382518813,0.181336407,-10.2164343,19.5277918,-48.4902029,28.0573344,0.220985209
-1.74866667,0,0.319688904,0.0316949363,0.25756797,0.381809837,0.178718735,-9.85950669,19.2618563,-47.6120513,27.893038,0.217904832
